Options:
Model:                           Continuous: Directional
Tree File Name:                  tree.nex
Data File Name:                  data.txt
Log File Name:                   data.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2656037207
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   100
Iterations:                      1000000
Burn in:                         500000
MCMC ML Start:                   False
Schedule File:                   data.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Tags:	1
Estimating values for taxa and Sites
	data           1 
Restrictions:
    Alpha-1                      None
    Beta-1                       None
Prior Information:
    Priors
        Alpha-1 - uniform -0.07 0.81 
        Beta-1 - uniform -0.07 0.81 
        AncState-1 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       212
     Sites:                      1
Iteration	Lh	Tree No	Alpha 1	Beta 1	Sigma^2 1 	Est Ancestral_value - 1	
500100	-191.170185	1	0.334182363639	0.052696809155	4.572204814637	0.334950550669	
500200	-190.980711	1	0.334418188128	0.035405658871	4.564039351057	0.335072217807	
500300	-190.619531	1	0.333980538004	0.122615511709	4.548514488313	0.334180413251	
500400	-191.124408	1	0.333034691246	0.370409572209	4.570230708936	0.333558914237	
500500	-190.486660	1	0.334544675494	-0.003187775821	4.542816507730	0.334525526270	
500600	-190.962491	1	0.336325969016	0.399559941334	4.563254925747	0.336020514634	
500700	-190.688028	1	0.335459858235	0.017449167000	4.551454680078	0.335874068017	
500800	-192.708255	1	0.336687637042	0.034446540229	4.639031612158	0.338108143830	
500900	-191.273491	1	0.337732183369	0.494488598102	4.576662980445	0.337219191540	
501000	-191.048316	1	0.338096448367	0.537885478397	4.566951152400	0.338125604776	
501100	-191.375604	1	0.338224942323	0.656173786609	4.581073975732	0.337860177030	
501200	-190.652825	1	0.338799120401	0.029058878350	4.549943364191	0.338435641679	
501300	-190.799924	1	0.336558721691	0.316893624457	4.556261857976	0.336375426146	
501400	-191.681005	1	0.333979965818	0.315626424810	4.594291731081	0.334897590931	
501500	-192.102302	1	0.333640828744	0.577618093211	4.612588067758	0.334598315585	
501600	-190.607484	1	0.332718888321	0.059546905320	4.547997593336	0.332988633074	
501700	-190.933290	1	0.333336601343	0.121227529334	4.561998015194	0.332764820479	
501800	-190.885768	1	0.332017448408	0.194606386235	4.559953238140	0.332493180062	
501900	-190.928873	1	0.332129361781	-0.028762701142	4.561807918546	0.331483580920	
502000	-190.886692	1	0.334143048849	0.273883029092	4.559992985043	0.334537680827	
502100	-191.225527	1	0.331934286706	0.636480051122	4.574592571792	0.332102473520	
502200	-190.995846	1	0.330922140621	0.397582661323	4.564691064457	0.331280044440	
502300	-191.417267	1	0.331092927218	0.624339580472	4.582874892041	0.330621855111	
502400	-191.331139	1	0.325537269839	0.644022136512	4.579152671452	0.325194890266	
502500	-191.154411	1	0.324057241661	0.515688236312	4.571524472181	0.324422416368	
502600	-190.808304	1	0.325618948388	0.090408786725	4.556622045052	0.325132863152	
502700	-191.367874	1	0.324532175728	0.693972319214	4.580739889843	0.324256163476	
502800	-192.185154	1	0.321560473860	0.024904797779	4.616194757400	0.320318885461	
502900	-190.525368	1	0.321026255854	0.020195082733	4.544475688303	0.321180945083	
503000	-191.007446	1	0.321647059605	0.513496466847	4.565190637628	0.321593013231	
503100	-191.236393	1	0.319834858189	0.342790243108	4.575061535622	0.319193693999	
503200	-192.088028	1	0.323096656144	0.772305575447	4.611966959162	0.323880311894	
503300	-190.949262	1	0.318251232262	0.422207472153	4.562685455955	0.318001603907	
503400	-190.599685	1	0.315075582330	0.042446844476	4.547662956895	0.314794486365	
503500	-191.036623	1	0.315122104657	0.443129262771	4.566447382546	0.314777305915	
503600	-191.074973	1	0.310848684797	0.201107051516	4.568099795305	0.310217303217	
503700	-190.770136	1	0.313821850790	0.305272834086	4.554981624688	0.313662931087	
503800	-193.393476	1	0.314552164035	-0.016047980626	4.669117041303	0.312912919865	
503900	-191.448652	1	0.314384666159	-0.052215255918	4.584232005348	0.315336323491	
504000	-190.595426	1	0.320514882710	0.038875359775	4.547480256266	0.320238153827	
504100	-190.999487	1	0.320394758720	0.026772338340	4.564847864216	0.321067103195	
504200	-191.486979	1	0.318979073337	0.805089281046	4.585889875169	0.319073108485	
504300	-191.380112	1	0.323646206397	0.381878291700	4.581268783321	0.324353102665	
504400	-191.391103	1	0.323058405227	0.342717681104	4.581743847650	0.323801273762	
504500	-190.962369	1	0.321460430829	0.436271076486	4.563249657798	0.321698612177	
504600	-191.274676	1	0.321656710283	-0.037176653409	4.576714156751	0.320797426997	
504700	-190.669596	1	0.321292363235	0.212362812883	4.550663303261	0.321422816236	
504800	-190.531350	1	0.326625333360	-0.059091838020	4.544732192462	0.326359654798	
504900	-192.313174	1	0.328637997678	0.474168076614	4.621773265436	0.329755587788	
505000	-190.719941	1	0.326364429143	0.276379222866	4.552825183655	0.326303529631	
505100	-190.830478	1	0.325309168675	0.365069219291	4.557575350126	0.325186687573	
505200	-191.323554	1	0.328490290375	0.043888770061	4.578825009861	0.329348705152	
505300	-191.163023	1	0.327853831182	0.271607926682	4.571895914397	0.327211918152	
505400	-191.037977	1	0.328044208918	0.301036989914	4.566505718538	0.327525223961	
505500	-191.225129	1	0.323013129823	0.189826369016	4.574575392554	0.322276636361	
505600	-190.828826	1	0.323404521929	0.374483429586	4.557504313456	0.323341282429	
505700	-191.375613	1	0.323372896936	-0.031388699385	4.581074344540	0.324282681714	
505800	-191.309820	1	0.327517063831	0.305780662586	4.578231829264	0.328233646369	
505900	-191.240297	1	0.326376444400	-0.047968456411	4.575230039580	0.325532749218	
506000	-191.648567	1	0.326035283581	-0.021384566779	4.592885969541	0.327070980838	
506100	-191.364509	1	0.323913464037	0.078567135342	4.580594503927	0.324781109190	
506200	-190.735129	1	0.328188889829	0.176383058277	4.553477572018	0.328512838237	
506300	-191.214021	1	0.333939233614	0.311183897620	4.574096028427	0.333292492186	
506400	-190.580758	1	0.332395335316	0.080123748406	4.546851037595	0.332208437176	
506500	-192.112823	1	0.331444689478	0.536018752578	4.613045909062	0.332436543395	
506600	-191.017270	1	0.330242266586	0.095971276670	4.565613737434	0.329592475559	
506700	-191.152653	1	0.329267134062	0.451006035385	4.571448647495	0.328809018605	
506800	-190.809394	1	0.328110353090	0.160805581383	4.556668905147	0.327680225723	
506900	-190.554566	1	0.328156494077	0.092746586856	4.545727649052	0.328213676360	
507000	-191.072232	1	0.329970685945	0.515571183470	4.567981664929	0.329734731297	
507100	-190.770578	1	0.335462677906	0.248562893472	4.555000636543	0.335192312040	
507200	-190.725473	1	0.336141343140	0.133994889814	4.553062782304	0.336498349541	
507300	-190.591987	1	0.332176531488	0.140278163546	4.547332721937	0.332222018381	
507400	-190.979317	1	0.332842884449	0.312929191640	4.563979321767	0.333292854977	
507500	-191.308507	1	0.333498191283	0.017576740572	4.578175099456	0.334357401358	
507600	-191.523318	1	0.333785016494	0.635152168484	4.587462263565	0.334334680426	
507700	-191.597865	1	0.329623995684	0.285798898631	4.590689637902	0.330516461589	
507800	-190.629397	1	0.329146520117	0.181924381939	4.548937861462	0.329209473019	
507900	-192.295567	1	0.333705253217	0.207279112339	4.621005675643	0.332476672820	
508000	-191.534652	1	0.334915058505	0.011394278166	4.587952819478	0.333940928620	
508100	-190.851531	1	0.330801584915	0.394088410346	4.558480616080	0.330782368084	
508200	-190.768224	1	0.332343716407	-0.046260416999	4.554899466648	0.332872311126	
508300	-191.244452	1	0.333525760650	0.553938943589	4.575409386699	0.333124736847	
508400	-191.152129	1	0.329091514628	0.582591553885	4.571426073896	0.329290086897	
508500	-191.364202	1	0.324986557612	0.737026130537	4.580581202272	0.324916618046	
508600	-190.712112	1	0.325631947371	0.271856467944	4.552488918956	0.325599169809	
508700	-190.813082	1	0.323652639917	0.327612838788	4.556827461164	0.323850030137	
508800	-190.803606	1	0.321603491350	0.322989020628	4.556420104865	0.321792403199	
508900	-190.631803	1	0.321721376533	0.062927348241	4.549041106333	0.322028715042	
509000	-193.000254	1	0.322701968002	0.377342461751	4.651828416456	0.321287504848	
509100	-190.556551	1	0.325905160836	0.097644309958	4.545812777911	0.325859453943	
509200	-190.939324	1	0.327801431014	0.377601860193	4.562257681553	0.328117376137	
509300	-191.199920	1	0.330530219814	0.603978911928	4.573487579560	0.330759206232	
509400	-193.580129	1	0.328175838727	0.235775257480	4.677346029286	0.329813065468	
509500	-191.149985	1	0.322693253614	0.200160695848	4.571333616808	0.323375337169	
509600	-191.062348	1	0.321263361679	0.076051247042	4.567555762434	0.321955090762	
509700	-190.732868	1	0.321258562706	0.285216821337	4.553380432909	0.321351133512	
509800	-190.726640	1	0.324948388311	0.260112464802	4.553112908782	0.324788828240	
509900	-192.485314	1	0.327913176174	0.534861788830	4.629284973886	0.326759493986	
510000	-190.859057	1	0.327276625618	0.330684618583	4.558804290174	0.327000030075	
510100	-191.250672	1	0.323038043752	0.089137848114	4.575677855631	0.323839044464	
510200	-194.503936	1	0.327276951312	0.066153034355	4.718288035749	0.325358749755	
510300	-190.930308	1	0.323064455548	0.050949695014	4.561869669529	0.323675868260	
510400	-191.016531	1	0.325566115814	0.518789993636	4.565581895646	0.325617672955	
510500	-190.916668	1	0.323667958144	0.375164111139	4.561282671871	0.323379427947	
510600	-190.599825	1	0.320100639873	0.141611561582	4.547668973127	0.319997167034	
510700	-191.299482	1	0.320964111649	0.201638295918	4.577785317210	0.320188782659	
510800	-190.640826	1	0.322451000241	0.158464347533	4.549428380523	0.322637029310	
510900	-190.906218	1	0.319907335996	0.288996357551	4.560833016158	0.320311503520	
511000	-191.408303	1	0.323133975970	0.720243978102	4.582487356875	0.323404389655	
511100	-191.974839	1	0.322321101740	0.660452618655	4.607044847742	0.323149389490	
511200	-190.786090	1	0.324145734842	0.326000369911	4.555667253167	0.324271611457	
511300	-190.589597	1	0.321042010498	0.065401478155	4.547230184387	0.321275623792	
511400	-191.259761	1	0.317421404609	0.310180415231	4.576070207423	0.316738497062	
511500	-191.249211	1	0.317299365774	0.081647619151	4.575614790824	0.318103273712	
511600	-192.135739	1	0.317176430628	-0.005567016611	4.614043295433	0.315946109438	
511700	-191.331142	1	0.314384105828	0.215128800442	4.579152803469	0.313596518476	
511800	-191.098352	1	0.314019825264	0.490426159601	4.569107445104	0.314363995186	
511900	-190.685060	1	0.312892669070	0.250090609846	4.551327258150	0.312883865006	
512000	-193.367221	1	0.311716037213	0.510905589336	4.667960717366	0.310236461313	
512100	-191.030531	1	0.310269651107	0.535507646385	4.566184947234	0.310246455820	
512200	-190.608751	1	0.305857637784	0.083848524398	4.548051963948	0.305608164172	
512300	-190.740861	1	0.303298126612	0.100803826619	4.553723792586	0.303712209103	
512400	-190.843650	1	0.304301403190	0.236089029200	4.558141710677	0.303902422342	
512500	-191.421000	1	0.306170080481	0.761763652132	4.583036294007	0.306337643554	
512600	-190.483645	1	0.305106131519	-0.027352697460	4.542687301243	0.305222094283	
512700	-191.328709	1	0.304321965455	0.314055865239	4.579047714354	0.305049763245	
512800	-190.519250	1	0.305877505583	-0.035807176354	4.544213423547	0.305653995663	
512900	-190.782962	1	0.306908012796	0.289738451733	4.555532826208	0.306675616938	
513000	-191.048768	1	0.301387284272	0.549333409474	4.566970611275	0.301441818190	
513100	-191.149495	1	0.307669963620	0.472553873289	4.571312446335	0.307234388294	
513200	-190.936953	1	0.308070791347	0.458425242752	4.562155663699	0.308182755135	
513300	-191.259719	1	0.308632068009	0.623242746530	4.576068419061	0.308330916653	
513400	-191.558930	1	0.311195550896	0.674459441228	4.589003745818	0.310658547412	
513500	-191.327579	1	0.309396870622	0.678385654908	4.578998898655	0.309129759060	
513600	-191.061200	1	0.309998893965	0.182904445022	4.567506296390	0.310632304984	
513700	-190.612291	1	0.309143527990	-0.030930929885	4.548203837209	0.309506674659	
513800	-190.592427	1	0.308582040170	0.121880312200	4.547351587440	0.308438206494	
513900	-190.743434	1	0.306785931950	0.308341043425	4.553834330967	0.306781085917	
514000	-191.054301	1	0.305809382507	0.531946693195	4.567209020262	0.305979308130	
514100	-191.310617	1	0.306205912075	0.405680789128	4.578266248642	0.306850821090	
514200	-191.386801	1	0.307268520792	0.738556126035	4.581557879954	0.307085730271	
514300	-191.135820	1	0.308753312041	0.446662019973	4.570722778338	0.308297441214	
514400	-191.333121	1	0.304119980688	0.475600567982	4.579238295809	0.303523784227	
514500	-192.242410	1	0.304074185530	0.457061314003	4.618688882462	0.302972316519	
514600	-193.075007	1	0.306071429804	0.376055647010	4.655110095917	0.307512838074	
514700	-192.851515	1	0.304739444279	0.504248359043	4.645305518198	0.303427857032	
514800	-190.935455	1	0.306247396229	0.365124864042	4.562091173111	0.305905106248	
514900	-192.143504	1	0.305720644070	0.419753019177	4.614381331422	0.304640978004	
515000	-190.987323	1	0.305677932719	-0.047566124573	4.564324035543	0.306372193861	
